Date,ABT,AAPL,T,BAC,BRK-B,CVX,CSCO,C,KO,COP,XOM,GE,GS,GOOG,HPQ,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,ORCL,PEP,PFE,PG,SLB,VZ,WMT,WFC
20070413,0.01878834,-0.02115197,0.00462535,0.00269966,0.00000000,-0.00218404,0.02733924,-0.00084818,0.00421754,0.00079491,0.00013928,0.00554107,-0.00264590,-0.00235349,0.00124533,-0.00767861,-0.00161290,0.00700935,-0.00218388,0.02161383,0.08283730,0.00224551,-0.00379404,0.00377423,0.00770276,-0.00224641,0.00928878,0.00064164,0.00317749,0.00833601
20070416,0.00677456,0.01318706,0.01074279,0.01615436,0.00204918,0.01123596,-0.00224888,0.02567912,0.00795756,0.00079428,0.00988720,-0.00064830,0.03879267,0.01711381,0.00024876,0.01312100,0.01130856,0.01070855,0.01794703,0.00963799,0.00229043,0.00448096,0.01468988,0.00239275,0.01034173,0.00554209,0.02060440,0.01282462,0.01380090,0.02543720
20070417,0.00186916,-0.01181232,-0.00182205,0.00132480,-0.00013633,0.00115440,0.00826446,-0.00744879,0.02587719,-0.00238095,0.00289575,-0.00454103,0.00178287,-0.00309950,0.00049739,0.00985167,0.01384452,0.02419212,0.00408514,0.01885914,-0.00617002,0.00408922,-0.00053619,0.01926684,-0.00178015,0.00258353,-0.00094213,-0.01076290,0.00200848,-0.00744186
20070418,-0.01641791,0.00055340,-0.00547612,0.01014333,-0.00599945,-0.00245027,0.00111773,0.00875547,0.00171013,-0.00843278,-0.00247491,-0.00195503,0.00860991,0.00678934,-0.00546856,-0.02389565,0.01733193,-0.00172414,0.03768737,-0.00251371,-0.00643826,-0.00888560,-0.00858369,0.00184008,-0.00445831,-0.00206150,-0.03340967,-0.00128000,-0.00400891,0.01999375
20070419,-0.01346737,-0.00143805,0.00856531,-0.01768173,-0.00329218,-0.01228146,-0.00707108,0.00185989,0.00170721,-0.00802311,-0.00951068,-0.00359125,0.01173160,-0.00915947,0.00399900,-0.00539023,0.02168301,0.00777202,0.00041271,-0.00206186,0.00925712,0.00336197,0.00162338,0.00166973,0.01074787,-0.00223791,-0.00780488,0.00256328,0.00760286,0.00520674
20070420,0.01057489,0.00775451,0.01425538,0.00266667,-0.00137627,0.02121123,0.01161919,0.00618812,0.00660418,0.02846975,0.02964097,0.00360419,0.00485506,0.02296194,0.00547672,0.00304844,0.01616978,0.00291345,0.00866337,-0.00872360,0.02682871,0.01154133,0.01242572,0.00933489,-0.00354453,0.00276052,0.01222082,0.01054650,0.02951620,0.00457038
20070423,-0.01103501,0.02792129,-0.00239234,-0.01041667,0.00220507,-0.01131643,-0.01519081,-0.00574006,-0.00846561,-0.00912237,-0.00702798,-0.00946784,0.01097664,-0.00704692,0.00099034,0.00664115,-0.01143710,-0.00580998,-0.00490798,0.00578972,0.00334971,-0.00846522,-0.00266809,-0.00082576,-0.02312139,-0.00258087,-0.00902026,-0.00948767,-0.01681397,-0.00788596
20070424,-0.00076953,-0.00288739,-0.01708633,0.00223964,-0.00330033,-0.00594031,-0.00940557,-0.00577320,0.00106724,-0.01365079,-0.00748605,-0.00098879,-0.00765590,-0.00323537,0.00568884,0.03444034,0.00150905,-0.00395325,-0.00226058,-0.00345383,-0.00133541,0.00037120,-0.00642055,-0.00280992,-0.00728266,0.00155253,0.00336087,0.00127714,-0.00482350,-0.00672577
20070425,0.00693107,0.02262977,0.00121988,0.01206704,-0.00110375,0.01588690,0.01709077,0.01887184,0.00063966,0.01705826,0.01673066,0.01880567,0.02211624,0.00096329,0.00541072,0.03015890,0.01456554,0.00293356,0.01256437,0.00323475,0.01537776,0.00705009,0.00430802,0.00861926,0.00641907,0.00241130,0.01423587,0.00127551,0.00242344,0.01415820
20070426,-0.01128107,0.03660199,-0.00456899,-0.00993597,0.00220994,-0.00186514,-0.00858850,-0.00447792,0.00660558,-0.00126582,0.00795792,0.01198187,-0.00347667,0.00667378,0.00391389,-0.00545645,-0.00742574,-0.00671025,0.00223759,0.01243667,0.00065847,0.00368460,0.00268097,-0.00854560,0.01503417,-0.00859107,-0.00426586,0.00859873,-0.00219780,-0.00576631
